"SampleID","Scientific.name","Count","wet.mass.g","Sample.area","mean.wet.mass.g","ConFac_j2mgwm","ConFac_j2mgc","Bodymass","Temperature","Depth","Mollusca","Annelida","Crustacea","Echinodermata","Insecta","Infauna","Sessile","Crawler","FacultativeSwimmer","Herbivore","Omnivore","Carnivore","Lake","River","Marine","Subtidal","Exploited"
3465,"Owenia fusiformis",11,0.24,0.1072,0.021818182,3.84,38.79187231,83.78181888,11.50140931,39,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Phaxas pellucidus",6,0.147,0.1072,0.0245,1.9992,45.82377078,48.9804,11.50140931,39,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
3465,"Phoronis",19,0.01,0.1072,0.000526316,3.925528862,40.76965125,2.066068649,11.50140931,39,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
3465,"Phtisica marina",1,0.001,0.1072,0.001,3.582380965,36.54336091,3.582380965,11.50140931,39,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
3465,"Sthenelais limicola",1,0.007,0.1072,0.007,2.637656953,32.07127708,18.46359867,11.50140931,39,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
3465,"Tellimya ferruginosa",4,0.035,0.1072,0.00875,0.802306315,45.82377078,7.020180256,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Fabulina fabula",1,0.001,0.1072,0.001,0.802306315,45.82377078,0.802306315,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Thracia phaseolina",1,0.002,0.1072,0.002,1.403073518,50.66574814,2.806147036,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Thyasira flexuosa",8,0.07,0.1072,0.00875,0.802306315,45.82377078,7.020180256,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Turritella communis",8,5.364,0.1072,0.6705,3.414207857,44.47435002,2289.226368,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Aonides paucibranchiata",56,0.044,0.1072,0.000785714,3.685129093,38.79187231,2.89545752,11.45473773,28,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Bathyporeia guilliamsoniana",3,0.018,0.1072,0.006,3.711928547,36.41445808,22.27157128,11.45473773,28,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
3499,"Branchiostoma lanceolatum",1,0.218,0.1072,0.218,3.925528862,40.76965125,855.7652919,11.45473773,28,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
3499,"Echinocyamus pusillus",1,0.019,0.1072,0.019,1.98,40.76965125,37.62,11.45473773,28,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Goodallia triangularis",4,0.006,0.1072,0.0015,0.812833232,45.82377078,1.219249848,11.45473773,28,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Grania postclitellochaeta",5,0.001,0.1072,2e-04,3.348,40.7463011,0.6696,11.45473773,28,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Hesionura elongata",1,1e-07,0.1072,1e-07,3.619716209,48.34606622,0.000361972,11.45473773,28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
3499,"Nemertea",2,0.003,0.1072,0.0015,3.88111001,59.11031916,5.821665015,11.45473773,28,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
3499,"Nephtys cirrosa",3,0.381,0.1072,0.127,3.6563842,48.34606622,464.3607934,11.45473773,28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
3499,"Polygordius appendiculatus",10,0.002,0.1072,2e-04,3.685129093,38.79187231,0.737025819,11.45473773,28,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Pontocrates arenarius",1,0.006,0.1072,0.006,3.711928547,36.41445808,22.27157128,11.45473773,28,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
3499,"Sphaerosyllis hystrix",22,0.001,0.1072,4.55e-05,2.5047225,38.79187231,0.113964874,11.45473773,28,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
3499,"Spio filicornis",4,0.015,0.1072,0.00375,3.685129093,38.79187231,13.8192341,11.45473773,28,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3499,"Asbjornsenia pygmaea",16,0.188,0.1072,0.01175,1.566034034,50.66574814,18.4008999,11.45473773,28,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
3499,"Thia scutellata",2,0.184,0.1072,0.092,3.778833113,38.7224154,347.6526464,11.45473773,28,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
